['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '1', '0.0', 'enonce', '()', '0', '4x(8x{@^[2]}+1)', '()', '(0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '2', '8.0', 'dupliquer', '()', '1', '4x(8x{@^[2]}+1)', '()', '(0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '3', '6.7', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(0 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '4', '0.1', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(1 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '5', '0.1', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 0 0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '6', '0.2', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 0 0 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '7', '0.2', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 0 1 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '8', '1.7', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 0 1 1 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '9', '0.1', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 0 1 1 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '10', '0.1', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 0 1 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '11', '0.1', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 1 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '12', '0.2', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 0 1 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 6, 'Filler for Absolute Problem No.', '1/16/2007', '13:45:41', 'B1', '13', '0.3', 'droite', '()', '1', '4x(8x{@^[2]}+1)', '()', '(2 derriere)', 'rien', 'V1', 'N1']
