['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '1', '0.0', 'enonce', '()', '0', '9x{@^[2]}-8x-2-(-4x{@^[2]}-9x-9)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '2', '1.7', 'dupliquer', '()', '1', '9x{@^[2]}-8x-2-(-4x{@^[2]}-9x-9)', '()', '(0 0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '3', '2.8', 'placerCurseur', '()', '1', '9x{@^[2]}-8x-2-(-4x{@^[2]}-9x-9)', '()', '(3 0 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '4', '0.9', 'droite', '()', '1', '9x{@^[2]}-8x-2-(-4x{@^[2]}-9x-9)', '()', '(3 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '5', '0.3', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x{@^[2]}-9x-9', '()', '(6 0 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '6', '0.5', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x{@^[2]}-9x-?', '()', '(6 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '7', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x{@^[2]}-9x', '()', '(5 0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '8', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x{@^[2]}-9', '()', '(5 0 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '9', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x{@^[2]}-?', '()', '(5 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '10', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x{@^[2]}', '()', '(4 0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '11', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4x', '()', '(4 0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '12', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-4', '()', '(4 0 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '13', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?-?', '()', '(4 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '13:46:45', 'B1', '14', '0.0', 'BackSpace', '()', '1', '9x{@^[2]}-8x-2-?', '()', '(3 0 dedans)', 'rien', 'V-', 'N-']
