['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '1', '0.0', 'enonce', '()', '0', '9x(-9x-5)', '()', '(0 0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '2', '2.4', 'dupliquer', '()', '1', '9x(-9x-5)', '()', '(0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '3', '2.5', 'placerCurseur', '()', '1', '9x(-9x-5)', '()', '(2 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '4', '4.2', 'placerCurseur', '()', '1', '9x(-9x-5)', '()', '(2 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '5', '4.0', 'placerCurseur', '()', '1', '9x(-9x-5)', '()', '(1 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '6', '0.8', 'BackSpace', '()', '1', '9(-9x-5)', '()', '(0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '7', '0.1', 'BackSpace', '()', '1', '(-9x-5)', '()', '(devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '8', '2.5', 'droite', '()', '1', '(-9x-5)', '()', '(0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '9', '2.6', 'BackSpace', '()', '1', '-9x-5', '()', '(0 devant)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '10', '2.1', 'placerCurseur', '()', '1', '-9x-5', '()', '(0 0 0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '13:48:57', 'B1', '11', '1.0', 'BackSpace', '()', '1', '-x-5', '()', '(0 0 devant)', 'rien', 'V0', 'S0']
