['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '1', '0.0', 'enonce', '()', '0', '-(x-8)-(8x+7)', '()', '(0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '2', '1.7', 'dupliquer', '()', '1', '-(x-8)-(8x+7)', '()', '(0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '3', '6.3', 'placerCurseur', '()', '1', '-(x-8)-(8x+7)', '()', '(0 0 0 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '4', '1.1', 'gauche', '()', '1', '-(x-8)-(8x+7)', '()', '(0 0 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '5', '1.9', 'BackSpace', '()', '1', '-x-8-(8x+7)', '()', '(0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '6', '4.2', 'droite', '()', '1', '-x-8-(8x+7)', '()', '(0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '7', '0.4', 'droite', '()', '1', '-x-8-(8x+7)', '()', '(1 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '8', '0.7', 'BackSpace', '()', '1', '-x8-(8x+7)', '()', '(0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '9', '0.9', '=', '()', '1', '-x=8-(8x+7)', '()', '(1 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '10', '0.9', 'BackSpace', '()', '1', '-x8-(8x+7)', '()', '(0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '11', '0.4', '+', '()', '1', '-x+8-(8x+7)', '()', '(1 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '12', '2.2', 'placerCurseur', '()', '1', '-x+8-(8x+7)', '()', '(2 0 0 0 1 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '13', '19.2', 'placerCurseur', '()', '1', '-x+8-(8x+7)', '()', '(2 0 0 1 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '14', '3.2', 'gauche', '()', '1', '-x+8-(8x+7)', '()', '(2 0 0 0 1 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '15', '0.2', 'gauche', '()', '1', '-x+8-(8x+7)', '()', '(2 0 0 0 0 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '16', '0.5', 'gauche', '()', '1', '-x+8-(8x+7)', '()', '(2 0 0 0 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '17', '0.7', 'BackSpace', '()', '1', '-x+8-8x+7', '()', '(2 0 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '18', '2.9', '(', '()', '1', '-x+8-(#8x+7', '()', '(2 0 0 0 0 devant)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '19', '2.8', 'placerCurseur', '()', '1', '-x+8-(#8x+7', '()', '(derriere)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '20', '1.6', ')', '()', '1', '-x+8-(8x+7)', '()', '(2 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '21', '5.5', 'dupliquer', '()', '2', '-x+8-(8x+7)', '()', '(2 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '22', '7.8', 'BackSpace', '()', '2', '-x+8-8x+7', '()', '(3 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '23', '0.2', 'BackSpace', '()', '2', '-x+8-8x+?', '()', '(3 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '24', '0.3', 'BackSpace', '()', '2', '-x+8-8x', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '25', '0.1', 'BackSpace', '()', '2', '-x+8-8', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '26', '0.3', 'BackSpace', '()', '2', '-x+8-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '27', '1.6', '5', '()', '2', '-x+8-5', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '28', '0.2', '6', '()', '2', '-x+8-56', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '29', '0.8', 'x', '()', '2', '-x+8-56x', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '30', '1.6', 'BackSpace', '()', '2', '-x+8-56', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '31', '0.1', 'BackSpace', '()', '2', '-x+8-5', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '32', '0.3', 'BackSpace', '()', '2', '-x+8-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '33', '10.7', 'BackSpace', '()', '2', '-x+8', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '34', '0.1', 'BackSpace', '()', '2', '-x+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '35', '0.1', 'BackSpace', '()', '2', '-x', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '36', '0.1', 'BackSpace', '()', '2', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '37', '3.2', '9', '()', '2', '-9', '()', '(0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '38', '0.5', 'x', '()', '2', '-9x', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '39', '3.7', 'BackSpace', '()', '2', '-9', '()', '(0 0 derriere)', 'rien', 'V0', 'S0']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '40', '0.1', 'BackSpace', '()', '2', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '41', '0.2', 'BackSpace', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '42', '7.1', 'placerCurseur', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '43', '18.8', 'placerCurseur', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '44', '1.0', 'placerCurseur', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '45', '0.4', 'placerCurseur', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '46', '0.2', 'placerCurseur', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '47', '0.1', 'placerCurseur', '()', '2', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '13:50:39', 'B1', '48', '0.8', '-', '()', '2', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
