['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '1', '0.0', 'enonce', '()', '0', '2(5x-8)+6(-7x+4)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '2', '5.5', 'dupliquer', '()', '1', '2(5x-8)+6(-7x+4)', '()', '(0 0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '3', '1.0', 'placerCurseur', '()', '1', '2(5x-8)+6(-7x+4)', '()', '(1 1 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '4', '0.8', 'placerCurseur', '()', '1', '2(5x-8)+6(-7x+4)', '()', '(1 1 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '5', '1.0', 'BackSpace', '()', '1', '2(5x-8)+6-7x+4', '()', '(3 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '6', '0.1', 'BackSpace', '()', '1', '2(5x-8)+6-7x+?', '()', '(3 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '7', '0.2', 'BackSpace', '()', '1', '2(5x-8)+6-7x', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '8', '0.5', 'BackSpace', '()', '1', '2(5x-8)+6-7', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '9', '0.0', 'BackSpace', '()', '1', '2(5x-8)+6-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '10', '0.0', 'BackSpace', '()', '1', '2(5x-8)+6', '()', '(1 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '11', '0.0', 'BackSpace', '()', '1', '2(5x-8)+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '12', '0.0', 'BackSpace', '()', '1', '2(5x-8)', '()', '(1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '13', '0.0', 'BackSpace', '()', '1', '25x-8', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '14', '0.2', 'BackSpace', '()', '1', '25x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '15', '0.1', 'BackSpace', '()', '1', '25x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '16', '0.1', 'BackSpace', '()', '1', '25', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '17', '0.1', 'BackSpace', '()', '1', '2', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '18', '0.1', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '19', '7.8', '(', '()', '1', '(#?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '20', '2.0', '1', '()', '1', '(#1', '()', '(0 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '21', '0.3', '0', '()', '1', '(#10', '()', '(0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '22', '1.5', 'x', '()', '1', '(#10x', '()', '(1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '13:52:27', 'B1', '23', '2.8', '-', '()', '1', '(#10x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
