['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '1', '0.0', 'enonce', '()', '0', '9x+8-(-8x+1)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '2', '5.1', 'dupliquer', '()', '1', '9x+8-(-8x+1)', '()', '(0 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '3', '3.6', 'placerCurseur', '()', '1', '9x+8-(-8x+1)', '()', '(2 0 0 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '4', '1.2', 'BackSpace', '()', '1', '9x+8-(-8x+?)', '()', '(2 0 0 1 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '5', '0.1', 'BackSpace', '()', '1', '9x+8-(-8x)', '()', '(2 0 0 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '6', '0.1', 'BackSpace', '()', '1', '9x+8-(-8)', '()', '(2 0 0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '7', '0.3', 'BackSpace', '()', '1', '9x+8-(-?)', '()', '(2 0 0 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '8', '0.1', 'BackSpace', '()', '1', '9x+8-(?)', '()', '(2 0 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '9', '1.1', 'droite', '()', '1', '9x+8-(?)', '()', '(2 0 derriere)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '10', '0.9', 'BackSpace', '()', '1', '9x+8-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '13:57:52', 'B1', '11', '0.2', 'BackSpace', '()', '1', '9x+8', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
