['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '1', '0.0', 'enonce', '()', '0', '6(-5x+4)-(-8x+1)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '2', '1.7', 'dupliquer', '()', '1', '6(-5x+4)-(-8x+1)', '()', '(0 0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '3', '1.3', 'placerCurseur', '()', '1', '6(-5x+4)-(-8x+1)', '()', '(1 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '4', '5.0', 'BackSpace', '()', '1', '6(-5x+4)-?-8x+1', '()', '(3 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '5', '0.1', 'BackSpace', '()', '1', '6(-5x+4)-?-8x+?', '()', '(3 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '6', '0.1', 'BackSpace', '()', '1', '6(-5x+4)-?-8x', '()', '(2 0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '7', '0.1', 'BackSpace', '()', '1', '6(-5x+4)-?-8', '()', '(2 0 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '8', '0.1', 'BackSpace', '()', '1', '6(-5x+4)-?-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '9', '0.1', 'BackSpace', '()', '1', '6(-5x+4)-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '10', '0.1', 'BackSpace', '()', '1', '6(-5x+4)', '()', '(1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '11', '0.1', 'BackSpace', '()', '1', '6-5x+4', '()', '(2 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '12', '0.1', 'BackSpace', '()', '1', '6-5x+?', '()', '(2 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '13', '0.3', 'BackSpace', '()', '1', '6-5x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '14', '0.2', 'BackSpace', '()', '1', '6-5', '()', '(1 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '15', '0.3', 'BackSpace', '()', '1', '6-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '16', '0.2', 'BackSpace', '()', '1', '6', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '17', '0.2', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '18', '4.1', '-', '()', '1', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '19', '1.2', '3', '()', '1', '-3', '()', '(0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '20', '0.5', '0', '()', '1', '-30', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '21', '1.2', '*', '()', '1', '-30*?', '()', '(0 1 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '22', '2.7', '+', '()', '1', '-30*?+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '23', '2.1', '2', '()', '1', '-30*?+2', '()', '(1 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '24', '0.5', '4', '()', '1', '-30*?+24', '()', '(1 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '25', '5.8', 'placerCurseur', '()', '1', '-30*?+24', '()', '(0 devant)', 'rien', 'V-', 'N-']
['St. Paul', '1', 7, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '13:59:13', 'B1', '26', '1.0', '(', '()', '1', '(#-30*?+24', '()', '(0 0 devant)', 'rien', 'V-', 'N-']
