['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '1', '0.0', 'enonce', '()', '0', '-5x-8-(7x+7)-4x-3', '()', '(0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '2', '2.7', 'dupliquer', '()', '1', '-5x-8-(7x+7)-4x-3', '()', '(0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '3', '7.2', 'placerCurseur', '()', '1', '-5x-8-(7x+7)-4x-3', '()', '(2 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '4', '1.0', 'droite', '()', '1', '-5x-8-(7x+7)-4x-3', '()', '(2 0 0 0 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '5', '0.6', 'BackSpace', '()', '1', '-5x-8-7x+7-4x-3', '()', '(2 0 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '6', '0.8', 'droite', '()', '1', '-5x-8-7x+7-4x-3', '()', '(2 0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '7', '0.4', 'droite', '()', '1', '-5x-8-7x+7-4x-3', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '8', '0.3', 'droite', '()', '1', '-5x-8-7x+7-4x-3', '()', '(3 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '9', '0.9', 'BackSpace', '()', '1', '-5x-8-7x7-4x-3', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '10', '0.5', '-', '()', '1', '-5x-8-7x-7-4x-3', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '11', '7.4', 'dupliquer', '()', '2', '-5x-8-7x-7-4x-3', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '12', '10.0', 'placerCurseur', '()', '2', '-5x-8-7x-7-4x-3', '()', '(2 0 1 derriere)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '13', '0.7', 'BackSpace', '()', '2', '-5x-8-7-7-4x-3', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '14', '0.1', 'BackSpace', '()', '2', '-5x-8-?-7-4x-3', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St Paul', '1', 6, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '14:01:20', 'B1', '15', '0.7', 'BackSpace', '()', '2', '-5x-8-7-4x-3', '()', '(1 0 0 derriere)', 'rien', 'V0', 'N0']
