['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '1', '0.0', 'enonce', '()', '0', '-2x{@^[2]}-3x+1-(7x{@^[2]}+9x-5)', '()', '(0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '2', '6.5', 'dupliquer', '()', '1', '-2x{@^[2]}-3x+1-(7x{@^[2]}+9x-5)', '()', '(0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '3', '11.6', 'placerCurseur', '()', '1', '-2x{@^[2]}-3x+1-(7x{@^[2]}+9x-5)', '()', '(3 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '4', '0.9', 'BackSpace', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(3 0 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '5', '1.1', 'droite', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(3 0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '6', '0.1', 'droite', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(3 0 1 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '7', '0.1', 'droite', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(3 0 1 1 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '8', '0.3', 'droite', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(3 0 1 1 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '9', '0.3', 'droite', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(3 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '10', '0.4', 'droite', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}+9x-5', '()', '(4 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '11', '0.8', 'BackSpace', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}9x-5', '()', '(3 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 9, 'Filler for Absolute Problem No.', '1/16/2007', '14:05:21', 'B1', '12', '0.5', '-', '()', '1', '-2x{@^[2]}-3x+1-7x{@^[2]}-9x-5', '()', '(4 0 0 0 devant)', 'rien', 'V0', 'N0']
