['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '1', '0.0', 'enonce', '()', '0', '6(6x+3)-(-4x+3)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '2', '3.4', 'dupliquer', '()', '1', '6(6x+3)-(-4x+3)', '()', '(0 0 0 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '3', '2.0', 'placerCurseur', '()', '1', '6(6x+3)-(-4x+3)', '()', '(0 1 0 0 1 devant)', 'rien', 'V1', 'N1']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '4', '0.6', 'BackSpace', '()', '1', '6(x+3)-(-4x+3)', '()', '(0 1 0 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '5', '0.1', 'BackSpace', '()', '1', '6x+3-(-4x+3)', '()', '(0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '6', '0.1', 'BackSpace', '()', '1', 'x+3-(-4x+3)', '()', '(0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '7', '0.6', '1', '()', '1', '1x+3-(-4x+3)', '()', '(0 0 0 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '8', '0.1', '2', '()', '1', '12x+3-(-4x+3)', '()', '(0 0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '9', '0.9', 'droite', '()', '1', '12x+3-(-4x+3)', '()', '(0 1 derriere)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '10', '0.1', 'droite', '()', '1', '12x+3-(-4x+3)', '()', '(1 0 devant)', 'rien', 'V0', 'N0']
['St Paul', '1', 6, 'Filler for Set', 10, 'Filler for Absolute Problem No.', '1/16/2007', '14:06:32', 'B1', '11', '0.4', 'droite', '()', '1', '12x+3-(-4x+3)', '()', '(1 0 derriere)', 'rien', 'V0', 'N0']
