['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '1', '0.0', 'enonce', '()', '0', '-9x(-6x-1)', '()', '(devant)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '2', '1.8', 'dupliquer', '()', '1', '-9x(-6x-1)', '()', '(devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '3', '2.5', 'delete', '()', '1', '9x(-6x-1)', '()', '(0 0 devant)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '4', '0.1', 'delete', '()', '1', 'x(-6x-1)', '()', '(0 devant)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '5', '0.4', 'delete', '()', '1', '(-6x-1)', '()', '(devant)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '6', '0.0', 'delete', '()', '1', '-6x-1', '()', '(0 devant)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '7', '0.0', 'delete', '()', '1', '6x-1', '()', '(0 0 0 devant)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '8', '0.0', 'delete', '()', '1', 'x-1', '()', '(0 devant)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '9', '0.0', 'delete', '()', '1', '-1', '()', '(devant)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '10', '0.0', 'delete', '()', '1', '1', '()', '(0 devant)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '11', '0.0', 'delete', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '0', '0.0', 'structure', '()', '0', '()', '()', '()', '()', '()', '()']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '12', '0.0', 'SupprEtape', '()', '0', '-9x(-6x-1)', '()', '(0 2 derriere)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '13', '1.9', 'dupliquer', '()', '2', '-9x(-6x-1)', '()', '(0 2 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 2, 'Filler for Absolute Problem No.', '1/16/2007', '21:36:28', 'B1', '14', '0.7', 'placerCurseur', '()', '2', '-9x(-6x-1)', '()', '(0 2 derriere)', 'rien', 'V1', 'N1']
