['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '1', '0.0', 'enonce', '()', '0', '3x(-8x{@^[2]}-9)', '()', '(0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '2', '1.3', 'dupliquer', '()', '1', '3x(-8x{@^[2]}-9)', '()', '(0 0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '3', '0.8', 'placerCurseur', '()', '1', '3x(-8x{@^[2]}-9)', '()', '(2 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '4', '0.6', 'BackSpace', '()', '1', '3x-8x{@^[2]}-9', '()', '(2 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '5', '0.1', 'BackSpace', '()', '1', '3x-8x{@^[2]}-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '6', '0.1', 'BackSpace', '()', '1', '3x-8x{@^[2]}', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '7', '0.1', 'BackSpace', '()', '1', '3x-8x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '8', '0.1', 'BackSpace', '()', '1', '3x-8', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '9', '0.1', 'BackSpace', '()', '1', '3x-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '10', '0.1', 'BackSpace', '()', '1', '3x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '11', '0.1', 'BackSpace', '()', '1', '3', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '12', '0.2', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '0', '0.0', 'structure', '()', '0', '()', '()', '()', '()', '()', '()']
['St. Paul', '1', 9, 'Filler for Set', 4, 'Filler for Absolute Problem No.', '1/16/2007', '21:37:54', 'B1', '13', '0.2', 'SupprEtape', '()', '0', '3x(-8x{@^[2]}-9)', '()', '(2 derriere)', 'rien', '', 'N1']
