['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '1', '0.0', 'enonce', '()', '0', '-(4x+8)-(6x-8)', '()', '(0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '2', '1.1', 'dupliquer', '()', '1', '-(4x+8)-(6x-8)', '()', '(0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '3', '0.8', 'placerCurseur', '()', '1', '-(4x+8)-(6x-8)', '()', '(1 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '4', '0.9', 'BackSpace', '()', '1', '-(4x+8)-6x-8', '()', '(2 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '5', '0.1', 'BackSpace', '()', '1', '-(4x+8)-6x-?', '()', '(2 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '6', '0.1', 'BackSpace', '()', '1', '-(4x+8)-6x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '7', '0.6', 'BackSpace', '()', '1', '-(4x+8)-6', '()', '(1 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '8', '0.1', 'BackSpace', '()', '1', '-(4x+8)-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '9', '2.5', 'BackSpace', '()', '1', '-(4x+8)', '()', '(0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '10', '0.1', 'BackSpace', '()', '1', '-4x+8', '()', '(1 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '11', '0.1', 'BackSpace', '()', '1', '-4x+?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '12', '0.1', 'BackSpace', '()', '1', '-4x', '()', '(0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '13', '0.1', 'BackSpace', '()', '1', '-4', '()', '(0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '14', '0.1', 'BackSpace', '()', '1', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '15', '0.1', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 5, 'Filler for Absolute Problem No.', '1/16/2007', '21:39:08', 'B1', '16', '5.3', '-', '()', '1', '-?', '()', '(0 dedans)', 'rien', 'V-', 'N-']
