['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '1', '0.0', 'enonce', '()', '0', '8x{@^[2]}-7x+8-(-8x{@^[2]}+7x+9)', '()', '(0 0 0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '2', '2.0', 'placerCurseur', '()', '0', '8x{@^[2]}-7x+8-(-8x{@^[2]}+7x+9)', '()', '(3 0 derriere)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '3', '3.7', 'dupliquer', '()', '1', '8x{@^[2]}-7x+8-(-8x{@^[2]}+7x+9)', '()', '(3 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '4', '1.3', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x{@^[2]}+7x+9', '()', '(6 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '5', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x{@^[2]}+7x+?', '()', '(6 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '6', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x{@^[2]}+7x', '()', '(5 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '7', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x{@^[2]}+7', '()', '(5 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '8', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x{@^[2]}+?', '()', '(5 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '9', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x{@^[2]}', '()', '(4 0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '10', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8x', '()', '(4 0 1 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '11', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-8', '()', '(4 0 0 derriere)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '12', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?-?', '()', '(4 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '13', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8-?', '()', '(3 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '14', '0.2', 'BackSpace', '()', '1', '8x{@^[2]}-7x+8', '()', '(2 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '15', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x+?', '()', '(2 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '16', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '17', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-7', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '18', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '19', '0.1', 'BackSpace', '()', '1', '8x{@^[2]}', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '20', '0.1', 'BackSpace', '()', '1', '8x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '21', '0.1', 'BackSpace', '()', '1', '8', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '22', '0.1', 'BackSpace', '()', '1', '?', '()', '(dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '23', '4.0', '8', '()', '1', '8', '()', '(0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '24', '0.3', 'x', '()', '1', '8x', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '25', '2.0', '{@^[2]}', '()', '1', '8x{@^[2]}', '()', '(1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '26', '1.2', '-', '()', '1', '8x{@^[2]}-?', '()', '(1 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '27', '1.1', '7', '()', '1', '8x{@^[2]}-7', '()', '(1 0 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '28', '0.2', 'x', '()', '1', '8x{@^[2]}-7x', '()', '(1 0 1 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '29', '1.4', '+', '()', '1', '8x{@^[2]}-7x+?', '()', '(2 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '30', '0.9', '8', '()', '1', '8x{@^[2]}-7x+8', '()', '(2 0 derriere)', 'rien', 'V0', 'S0']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '31', '3.7', '=', '()', '1', '8x{@^[2]}-7x+8=?', '()', '(1 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 7, 'Filler for Absolute Problem No.', '1/16/2007', '21:41:35', 'B1', '32', '1.8', '8', '()', '1', '8x{@^[2]}-7x+8=8', '()', '(1 0 derriere)', 'rien', 'V0', 'N0']
