['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '1', '0.0', 'enonce', '()', '0', '-7x-3-(2x-4)-8x+3', '()', '(0 devant)', 'rien', '', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '2', '1.1', 'dupliquer', '()', '1', '-7x-3-(2x-4)-8x+3', '()', '(0 devant)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '3', '0.8', 'placerCurseur', '()', '1', '-7x-3-(2x-4)-8x+3', '()', '(4 0 derriere)', 'rien', 'V1', 'N1']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '4', '0.7', 'BackSpace', '()', '1', '-7x-3-(2x-4)-8x+?', '()', '(4 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '5', '0.1', 'BackSpace', '()', '1', '-7x-3-(2x-4)-8x', '()', '(3 0 1 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '6', '0.1', 'BackSpace', '()', '1', '-7x-3-(2x-4)-8', '()', '(3 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '7', '0.1', 'BackSpace', '()', '1', '-7x-3-(2x-4)-?', '()', '(3 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '8', '0.1', 'BackSpace', '()', '1', '-7x-3-(2x-4)', '()', '(2 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '9', '0.1', 'BackSpace', '()', '1', '-7x-3-2x-4', '()', '(3 0 0 derriere)', 'rien', 'V0', 'N0']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '10', '0.1', 'BackSpace', '()', '1', '-7x-3-2x-?', '()', '(3 0 dedans)', 'rien', 'V-', 'N-']
['St. Paul', '1', 9, 'Filler for Set', 8, 'Filler for Absolute Problem No.', '1/16/2007', '21:42:47', 'B1', '11', '0.1', 'BackSpace', '()', '1', '-7x-3-2x', '()', '(2 0 1 derriere)', 'rien', 'V0', 'N0']
